actor_id,bacon_number,intermediary
1780,4,3768
1781,3,2552
1782,4,3881
1783,,
1784,2,3246
1785,3,2449
1786,3,720
1787,3,2771
1788,5,1582
1789,4,2254
1790,3,556
1791,4,2028
1792,3,1366
1793,3,2188
1794,,
1795,,
1796,4,389
1797,4,1866
1798,3,2290
1799,2,463
1800,3,3344
1801,4,3849
1802,2,4659
1803,2,775
1804,,
1805,,
1806,2,509
1807,5,4851
1808,4,2729
1809,3,2976
1810,,
1811,2,4659
1812,4,4720
1813,3,4296
1814,4,1350
1815,4,3954
1816,4,1277
1817,3,720
1818,3,4475
1819,3,805
1820,4,2492
1821,3,2647
1822,3,1940
1823,3,4325
1824,4,4052
1825,4,3367
1826,4,4507
1827,,
1828,,
1829,4,3073
1830,,
1831,5,4556
1832,3,1200
1833,4,748
1834,4,2015
1835,4,4113
1836,,
1837,3,3560
1838,2,4659
1839,,
1840,3,4296
1841,3,2136
1842,4,431
1843,4,1779
1844,4,3793
1845,4,292
1846,5,2415
1847,6,210
1848,4,2342
1849,4,3224
1850,,
1851,,
1852,4,2321
1853,4,416
1854,,
1855,5,266
1856,2,2551
1857,3,1317
1858,3,3293
1859,3,2702
1860,4,3660
1861,3,850
1862,4,3881
1863,,
1864,3,2664
1865,3,4877
1866,3,3786
1867,3,1760
1868,5,2150
1869,,
1870,4,76
1871,4,1779
1872,,
1873,2,1559
1874,3,2956
1875,2,1360
1876,3,4296
1877,4,394
1878,3,3823
1879,3,4811
1880,2,1559
1881,4,271
1882,3,2915
1883,3,2188
1884,2,463
1885,2,2388
1886,,
1887,,
1888,4,1262
1889,2,463
1890,1,2720
1891,,
1892,4,2953
1893,4,3924
1894,5,2130
1895,3,3276
1896,3,232
1897,3,3786
1898,4,2015
1899,4,1866
1900,3,2346
1901,4,1386
1902,,
1903,,
1904,,
1905,,
1906,3,3869
1907,4,431
1908,5,490
1909,5,2717
1910,3,3314
1911,3,3293
1912,7,1105
1913,3,1100
1914,3,566
1915,4,3938
1916,3,805
1917,3,2031
1918,3,4858
1919,4,1693
1920,,
1921,4,3471
